id,recency,history,mens,womens,newbie,zip_code,channel,history_segment,segment,visit
1513,2,626.69,1,1,1,Urban,Phone,5) $500 - $750,Womens E-Mail,1
22507,10,121.2,0,1,1,Urban,Phone,2) $100 - $200,No E-Mail,0
20245,3,204.67,1,0,1,Urban,Multichannel,3) $200 - $350,No E-Mail,0
35147,10,62.76,0,1,1,Urban,Web,1) $0 - $100,No E-Mail,0
24319,12,189.15,1,0,0,Urban,Web,2) $100 - $200,No E-Mail,0
19299,3,29.79,0,1,0,Surburban,Phone,1) $0 - $100,Mens E-Mail,0
46008,5,253.59,1,0,0,Surburban,Web,3) $200 - $350,Womens E-Mail,0
40462,1,375.41,0,1,1,Urban,Web,4) $350 - $500,Womens E-Mail,0
56478,8,1020.01,1,0,1,Urban,Multichannel,"7) $1,000 +",Womens E-Mail,0
58225,3,846.97,0,1,1,Surburban,Phone,"6) $750 - $1,000",Mens E-Mail,0
44505,2,526.3,1,1,1,Surburban,Multichannel,5) $500 - $750,No E-Mail,0
63186,1,544.3,0,1,1,Urban,Multichannel,5) $500 - $750,No E-Mail,0
39587,11,41.37,0,1,0,Urban,Phone,1) $0 - $100,Womens E-Mail,0
54954,10,264.2,1,0,1,Urban,Multichannel,3) $200 - $350,No E-Mail,0
49160,3,412.98,1,1,1,Surburban,Web,4) $350 - $500,No E-Mail,0
38798,10,105.02,0,1,1,Surburban,Web,2) $100 - $200,No E-Mail,0
44275,12,408.54,1,0,0,Surburban,Web,4) $350 - $500,No E-Mail,0
52996,10,128.52,1,0,0,Urban,Web,2) $100 - $200,Mens E-Mail,0
62972,9,490.76,1,0,0,Urban,Multichannel,4) $350 - $500,Mens E-Mail,0
34529,1,512.31,1,1,1,Urban,Multichannel,5) $500 - $750,Mens E-Mail,0
59188,6,169.39,1,0,1,Surburban,Web,2) $100 - $200,No E-Mail,0
60981,12,115.18,1,0,0,Rural,Phone,2) $100 - $200,Womens E-Mail,0
9158,4,66.23,1,0,0,Urban,Web,1) $0 - $100,No E-Mail,0
60443,9,117.72,1,0,0,Surburban,Web,2) $100 - $200,Womens E-Mail,0
8184,10,89.3,0,1,0,Urban,Web,1) $0 - $100,Womens E-Mail,0
4309,8,231.69,1,0,0,Surburban,Phone,3) $200 - $350,Mens E-Mail,1
56942,4,30.07,0,1,1,Rural,Web,1) $0 - $100,Womens E-Mail,1
42876,3,63.2,0,1,1,Urban,Phone,1) $0 - $100,No E-Mail,0
32220,4,445.91,1,0,0,Urban,Phone,4) $350 - $500,No E-Mail,0
17424,4,342.13,0,1,0,Surburban,Multichannel,3) $200 - $350,Womens E-Mail,0
52216,11,158.41,0,1,0,Surburban,Phone,2) $100 - $200,Womens E-Mail,1
47768,1,213.15,1,0,0,Urban,Phone,3) $200 - $350,No E-Mail,1
2495,6,36.54,0,1,0,Rural,Phone,1) $0 - $100,Womens E-Mail,0
62363,5,604.88,1,1,1,Urban,Web,5) $500 - $750,Womens E-Mail,0
10192,9,237.59,1,1,1,Surburban,Multichannel,3) $200 - $350,Womens E-Mail,0
25772,3,134.27,0,1,1,Surburban,Phone,2) $100 - $200,No E-Mail,0
17333,2,72.72,0,1,1,Surburban,Web,1) $0 - $100,No E-Mail,0
55200,1,136.2,0,1,1,Urban,Phone,2) $100 - $200,No E-Mail,0
25977,2,327.73,1,0,0,Surburban,Web,3) $200 - $350,Womens E-Mail,0
3162,6,187.1,1,0,1,Surburban,Web,2) $100 - $200,Mens E-Mail,0
39918,10,39.62,1,0,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
20424,10,136.46,0,1,1,Urban,Phone,2) $100 - $200,Mens E-Mail,0
42621,2,470.34,0,1,0,Surburban,Multichannel,4) $350 - $500,No E-Mail,0
16976,9,94.59,0,1,1,Surburban,Web,1) $0 - $100,Womens E-Mail,0
9005,11,169.14,0,1,1,Surburban,Web,2) $100 - $200,No E-Mail,0
25225,7,289.8,1,0,0,Surburban,Phone,3) $200 - $350,Mens E-Mail,0
53592,2,288.29,1,1,1,Urban,Phone,3) $200 - $350,Womens E-Mail,0
16604,1,30.02,0,1,1,Surburban,Web,1) $0 - $100,No E-Mail,0
34640,4,94.08,0,1,1,Surburban,Web,1) $0 - $100,No E-Mail,0
55272,12,103.5,1,0,1,Surburban,Phone,2) $100 - $200,Mens E-Mail,0
2677,5,63.92,1,0,0,Surburban,Web,1) $0 - $100,Womens E-Mail,1
3355,5,150.48,1,0,1,Urban,Phone,2) $100 - $200,Mens E-Mail,0
14091,4,138.47,0,1,1,Surburban,Web,2) $100 - $200,Womens E-Mail,0
24000,3,39.82,0,1,1,Urban,Phone,1) $0 - $100,Mens E-Mail,0
63028,9,169.91,0,1,0,Surburban,Web,2) $100 - $200,Mens E-Mail,0
60787,6,279.05,0,1,0,Rural,Web,3) $200 - $350,Womens E-Mail,1
11453,9,74.26,0,1,0,Surburban,Phone,1) $0 - $100,Mens E-Mail,0
46816,3,390.87,0,1,1,Surburban,Web,4) $350 - $500,Mens E-Mail,0
15174,4,29.86,1,0,0,Surburban,Web,1) $0 - $100,Mens E-Mail,0
47100,5,133.01,0,1,1,Urban,Web,2) $100 - $200,No E-Mail,0
9995,11,41.16,1,0,0,Rural,Web,1) $0 - $100,Mens E-Mail,0
